epoch,val_loss,train_loss
0,0.3836556077003479,0.3733380436897278
5,0.013344659470021725,0.01346216443926096
10,0.012987838126718998,0.01319323293864727
15,0.011900234036147594,0.01188031118363142
20,0.01124156266450882,0.010976796969771385
25,0.009833099320530891,0.009452051483094692
30,0.00997554138302803,0.009532439522445202
35,0.008278755471110344,0.007565238047391176
40,0.007942660711705685,0.007173734717071056
45,0.008009319193661213,0.007020365912467241
50,0.007564529776573181,0.006652217824012041
55,0.007136975880712271,0.0062026106752455235
60,0.006725918967276812,0.005856149364262819
65,0.006416965741664171,0.005623497534543276
70,0.006278502754867077,0.005425377283245325
75,0.006243414245545864,0.005220241378992796
80,0.006308186799287796,0.0051580616272985935
85,0.006330838892608881,0.00523265590891242
90,0.006370438262820244,0.00517977075651288
95,0.00623887125402689,0.005100705195218325
100,0.006391068454831839,0.005276217591017485
105,0.006176176015287638,0.004958363715559244
